,acousticness,album_id,album_name,album_popularity,analysis_url,artist,artist_followers,artist_id,artist_popularity,danceability,duration,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,n_markets,record_label,release_date,speechiness,tempo,time_signature,track_id,track_name,track_popularity,valence,weeks
0,7.31e-05,6bFbVc6Ozp6OEk7ueSqCxo,(how to live) AS GHOSTS,58.0,https://api.spotify.com/v1/audio-analysis/1OA2d84wOUeYfTtuJmO6Zn,10 Years,258651.0,0REMf7H0VP6DwfZ9MbuWph,60.0,0.491,211280.0,211280.0,0.941,0.0,0.0126,1.0,0.313,-3.234,1.0,78.0,Mascot Records,2017-10-27,0.0475,103.178,4.0,1OA2d84wOUeYfTtuJmO6Zn,The Messenger,41.0,0.362,0.0
1,0.000106,6bFbVc6Ozp6OEk7ueSqCxo,(how to live) AS GHOSTS,58.0,https://api.spotify.com/v1/audio-analysis/0uyDAijTR0tOuH24hxDhE5,10 Years,258651.0,0REMf7H0VP6DwfZ9MbuWph,60.0,0.444,169520.0,169520.0,0.865,0.0,1.55e-05,11.0,0.0366,-2.433,1.0,78.0,Mascot Records,2017-10-27,0.0464,188.036,4.0,0uyDAijTR0tOuH24hxDhE5,Novacaine,58.0,0.74,3.0
2,4e-05,6bFbVc6Ozp6OEk7ueSqCxo,(how to live) AS GHOSTS,58.0,https://api.spotify.com/v1/audio-analysis/5vhT2fcFXcRPnJPQA0m1fv,10 Years,258651.0,0REMf7H0VP6DwfZ9MbuWph,60.0,0.388,214133.0,214133.0,0.924,0.0,0.105,1.0,0.31,-2.502,1.0,78.0,Mascot Records,2017-10-27,0.0674,177.971,4.0,5vhT2fcFXcRPnJPQA0m1fv,Burnout,52.0,0.628,0.0
3,0.00152,6bFbVc6Ozp6OEk7ueSqCxo,(how to live) AS GHOSTS,58.0,https://api.spotify.com/v1/audio-analysis/3kBxK3O3nY0l2RThryJGTa,10 Years,258651.0,0REMf7H0VP6DwfZ9MbuWph,60.0,0.441,214413.0,214413.0,0.905,0.0,0.0,1.0,0.0739,-2.728,0.0,78.0,Mascot Records,2017-10-27,0.0403,147.889,4.0,3kBxK3O3nY0l2RThryJGTa,Catacombs,36.0,0.233,0.0
4,0.00021,6bFbVc6Ozp6OEk7ueSqCxo,(how to live) AS GHOSTS,58.0,https://api.spotify.com/v1/audio-analysis/3nTFu6i6p4KxeEkKwlrmnV,10 Years,258651.0,0REMf7H0VP6DwfZ9MbuWph,60.0,0.522,247986.0,247987.0,0.947,0.0,9.3e-05,6.0,0.317,-3.087,1.0,78.0,Mascot Records,2017-10-27,0.0554,130.037,4.0,3nTFu6i6p4KxeEkKwlrmnV,Ghosts,37.0,0.563,0.0
5,0.00101,6bFbVc6Ozp6OEk7ueSqCxo,(how to live) AS GHOSTS,58.0,https://api.spotify.com/v1/audio-analysis/2yfVbh5MAE80YBOc1Qdj7r,10 Years,258651.0,0REMf7H0VP6DwfZ9MbuWph,60.0,0.453,190853.0,190853.0,0.923,0.0,0.000958,1.0,0.121,-3.001,1.0,78.0,Mascot Records,2017-10-27,0.0365,140.055,4.0,2yfVbh5MAE80YBOc1Qdj7r,Blood Red Sky,33.0,0.2,0.0
6,0.00028,6bFbVc6Ozp6OEk7ueSqCxo,(how to live) AS GHOSTS,58.0,https://api.spotify.com/v1/audio-analysis/1ldzuczA6CF8x0m6hhQF2n,10 Years,258651.0,0REMf7H0VP6DwfZ9MbuWph,60.0,0.512,254506.0,254507.0,0.885,0.0,1.46e-05,6.0,0.102,-2.89,1.0,78.0,Mascot Records,2017-10-27,0.0359,94.025,4.0,1ldzuczA6CF8x0m6hhQF2n,Phantoms,34.0,0.567,0.0
7,0.000107,6bFbVc6Ozp6OEk7ueSqCxo,(how to live) AS GHOSTS,58.0,https://api.spotify.com/v1/audio-analysis/0OphUNzFrzNPL5WXNXOikr,10 Years,258651.0,0REMf7H0VP6DwfZ9MbuWph,60.0,0.397,237240.0,237240.0,0.931,0.0,7.16e-05,1.0,0.327,-3.267,1.0,78.0,Mascot Records,2017-10-27,0.0586,159.965,3.0,0OphUNzFrzNPL5WXNXOikr,Vampires,33.0,0.589,0.0
8,0.00054,6bFbVc6Ozp6OEk7ueSqCxo,(how to live) AS GHOSTS,58.0,https://api.spotify.com/v1/audio-analysis/6jliZpp5e3yE3C2WQdWphW,10 Years,258651.0,0REMf7H0VP6DwfZ9MbuWph,60.0,0.473,233680.0,233680.0,0.956,0.0,1.09e-05,8.0,0.147,-3.721,0.0,78.0,Mascot Records,2017-10-27,0.067,158.015,4.0,6jliZpp5e3yE3C2WQdWphW,Halos,35.0,0.469,0.0
9,0.00293,6bFbVc6Ozp6OEk7ueSqCxo,(how to live) AS GHOSTS,58.0,https://api.spotify.com/v1/audio-analysis/1nUK0ruxCc4VztXzfozwFA,10 Years,258651.0,0REMf7H0VP6DwfZ9MbuWph,60.0,0.48,218253.0,218253.0,0.807,0.0,2.65e-06,3.0,0.048,-3.91,0.0,78.0,Mascot Records,2017-10-27,0.0366,149.889,3.0,1nUK0ruxCc4VztXzfozwFA,Lucky You,40.0,0.341,0.0
10,0.000657,6bFbVc6Ozp6OEk7ueSqCxo,(how to live) AS GHOSTS,58.0,https://api.spotify.com/v1/audio-analysis/7MeWdQPHcVBnf3jbYHo6PF,10 Years,258651.0,0REMf7H0VP6DwfZ9MbuWph,60.0,0.433,242826.0,242827.0,0.851,0.0,0.00278,1.0,0.0667,-3.647,0.0,78.0,Mascot Records,2017-10-27,0.0363,152.02,3.0,7MeWdQPHcVBnf3jbYHo6PF,Insomnia,35.0,0.378,0.0
11,0.00869,01zrTZowtMtqYutWzzDgds,Us And The Night,58.0,https://api.spotify.com/v1/audio-analysis/3jdo9L1HZ17JJ3TTWq0v6R,3 Doors Down,1879733.0,2RTUTCvo6onsAnheUk3aL9,73.0,0.573,166813.0,166813.0,0.958,0.0,6.99e-06,0.0,0.191,-4.081,1.0,78.0,Universal Records,2016-03-11,0.0879,140.041,4.0,3jdo9L1HZ17JJ3TTWq0v6R,The Broken,48.0,0.691,0.0
12,0.0251,01zrTZowtMtqYutWzzDgds,Us And The Night,58.0,https://api.spotify.com/v1/audio-analysis/1ILnhyARReabVz7U2oDQMm,3 Doors Down,1879733.0,2RTUTCvo6onsAnheUk3aL9,73.0,0.598,223680.0,223680.0,0.947,0.0,0.0266,7.0,0.328,-3.329,1.0,78.0,Universal Records,2016-03-11,0.0435,106.014,4.0,1ILnhyARReabVz7U2oDQMm,In The Dark,52.0,0.729,8.0
13,0.000346,01zrTZowtMtqYutWzzDgds,Us And The Night,58.0,https://api.spotify.com/v1/audio-analysis/6cJRjKolnLTz0Q0TbwJaSv,3 Doors Down,1879733.0,2RTUTCvo6onsAnheUk3aL9,73.0,0.429,161946.0,161947.0,0.961,0.0,0.486,11.0,0.203,-4.24,0.0,78.0,Universal Records,2016-03-11,0.0537,169.935,4.0,6cJRjKolnLTz0Q0TbwJaSv,Still Alive,44.0,0.622,0.0
14,0.000127,01zrTZowtMtqYutWzzDgds,Us And The Night,58.0,https://api.spotify.com/v1/audio-analysis/2vDflaiQf8eK92Yyyte790,3 Doors Down,1879733.0,2RTUTCvo6onsAnheUk3aL9,73.0,0.471,201973.0,201973.0,0.956,0.0,0.0111,2.0,0.144,-4.063,1.0,78.0,Universal Records,2016-03-11,0.0495,150.037,4.0,2vDflaiQf8eK92Yyyte790,Believe It,40.0,0.529,0.0
15,0.00373,01zrTZowtMtqYutWzzDgds,Us And The Night,58.0,https://api.spotify.com/v1/audio-analysis/3irFKykZfYkMcSl6y0O3dt,3 Doors Down,1879733.0,2RTUTCvo6onsAnheUk3aL9,73.0,0.55,228426.0,228427.0,0.963,0.0,0.0625,4.0,0.211,-4.088,1.0,78.0,Universal Records,2016-03-11,0.056,144.013,4.0,3irFKykZfYkMcSl6y0O3dt,Living In Your Hell,43.0,0.668,0.0
