,acousticness,album_popularity,artist_followers,artist_popularity,bb_appear,danceability,days_since_release,duration,energy,explicit,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_popularity,valence,weeks
0,0.0362,93.0,14136522.0,94.0,1,0.672,521,201240.0,0.655,0,0.0,10,0.11699999999999999,-5.021,0,0.0311,134.945,4,84.0,0.556,60.0
1,0.0256,,317110.0,60.0,0,0.71,382,190233.0,0.775,0,0.0,9,0.0869,-4.739,0,0.229,151.969,4,27.0,0.25,0.0
2,0.0611,59.0,1226077.0,68.0,1,0.653,297,201833.0,0.8690000000000001,0,0.11900000000000001,1,0.187,-4.622,1,0.0571,137.974,4,47.0,0.7959999999999999,4.0
3,0.0721,54.0,1473003.0,70.0,0,0.35200000000000004,962,363573.0,0.306,0,0.494,0,0.122,-7.872000000000001,0,0.0343,122.014,4,39.0,0.0861,0.0
4,0.00671,93.0,14136511.0,94.0,1,0.605,521,187146.0,0.8220000000000001,0,0.134,0,0.147,-4.833,1,0.0438,167.997,4,87.0,0.28800000000000003,80.0
5,0.0137,56.0,302360.0,61.0,0,0.585,290,182466.0,0.73,0,5.84e-06,10,0.11,-6.273,1,0.0731,164.085,4,36.0,0.479,0.0
6,0.0498,,952230.0,72.0,0,0.456,1166,183173.0,0.8959999999999999,0,0.0,1,0.311,-4.474,1,0.0515,176.112,4,31.0,0.55,0.0
7,0.0988,59.0,2907049.0,75.0,0,0.715,734,224160.0,0.828,0,0.0019399999999999999,2,0.27699999999999997,-10.565999999999999,1,0.0294,121.936,4,26.0,0.745,0.0
8,3.9299999999999986e-05,70.0,2060450.0,75.0,1,0.33899999999999997,1252,205373.0,0.9420000000000001,0,0.0008759999999999999,3,0.133,-4.937,0,0.154,164.90599999999995,4,49.0,0.5479999999999999,1.0
9,0.0011099999999999999,68.0,1794308.0,72.0,1,0.5820000000000001,542,214093.0,0.843,0,0.0,2,0.102,-5.596,1,0.0401,128.994,4,58.0,0.446,1.0
10,0.18600000000000005,74.0,2471023.0,79.0,0,0.551,24,153000.0,0.8809999999999999,0,0.0791,7,0.152,-6.099,0,0.0542,88.036,4,58.0,0.387,0.0
11,0.000245,,409788.0,67.0,0,0.479,1169,214130.0,0.955,0,7.87e-05,1,0.103,-2.689,0,0.112,138.023,4,49.0,0.259,0.0
12,3.1e-05,62.0,298396.0,68.0,0,0.515,906,224440.0,0.978,0,0.121,7,0.212,-3.218,1,0.0851,92.512,4,43.0,0.546,0.0
13,0.971,73.0,2132961.0,76.0,1,0.304,787,245200.0,0.22899999999999998,0,0.408,4,0.109,-14.677999999999999,1,0.033,80.118,4,64.0,0.155,2.0
14,0.0434,63.0,551389.0,72.0,0,0.4270000000000001,801,313693.0,0.794,0,0.34700000000000003,9,0.228,-7.933,1,0.043,83.041,4,45.0,0.273,0.0
15,0.059000000000000004,68.0,378600.0,67.0,0,0.662,490,161321.0,0.809,0,0.0,4,0.8740000000000001,-4.925,1,0.0401,104.05799999999999,4,38.0,0.6409999999999999,0.0
16,0.0563,92.0,10576298.0,89.0,0,0.7490000000000001,52,229120.0,0.723,0,0.022000000000000002,1,0.0977,-6.609,1,0.0432,108.999,4,82.0,0.674,0.0
17,2.17e-05,62.0,8739023.0,83.0,0,0.445,738,345277.0,0.953,0,0.00251,6,0.10800000000000001,-3.359,1,0.0408,107.22200000000001,4,40.0,0.35100000000000003,0.0
18,0.925,69.0,910139.0,71.0,0,0.528,444,262679.0,0.63,0,0.852,7,0.10099999999999999,-13.168,0,0.0611,169.489,4,50.0,0.266,0.0
19,0.00031600000000000004,71.0,1021122.0,70.0,0,0.379,346,187104.0,0.986,0,2.02e-05,2,0.243,-2.5580000000000003,1,0.21899999999999997,184.99599999999998,4,52.0,0.0833,0.0
20,0.755,77.0,2471023.0,79.0,1,0.249,1123,262320.0,0.4920000000000001,0,0.0,2,0.243,-7.108,0,0.0352,54.13399999999999,4,64.0,0.34,1.0
21,0.198,55.0,33216.0,50.0,0,0.828,1060,245510.0,0.433,0,0.0,7,0.525,-8.191,0,0.0596,77.97800000000002,4,28.0,0.505,0.0
22,0.7340000000000001,,1528820.0,79.0,0,0.607,382,241828.0,0.4,1,0.0,7,0.114,-8.472000000000001,1,0.0302,114.132,4,57.0,0.551,0.0
23,0.385,69.0,433809.0,66.0,0,0.48100000000000004,458,670666.0,0.632,0,0.0817,11,0.11599999999999999,-7.117000000000001,1,0.0333,103.323,4,60.0,0.156,0.0
24,0.000616,63.0,1400157.0,74.0,0,0.5710000000000001,395,245746.0,0.9059999999999999,0,4.07e-05,1,0.22,-4.303,1,0.0331,129.982,4,48.0,0.96,0.0
25,0.000213,73.0,2455939.0,80.0,1,0.23800000000000002,1199,252002.0,0.9670000000000001,0,1.18e-06,4,0.26,-2.602,0,0.136,170.128,4,64.0,0.58,20.0
26,0.00281,64.0,2675099.0,77.0,0,0.40700000000000003,339,340626.0,0.843,0,0.0367,7,0.0611,-8.43,0,0.0776,154.974,4,43.0,0.619,0.0
27,0.133,55.0,668865.0,65.0,0,0.573,899,238906.0,0.7170000000000001,0,0.0013800000000000002,6,0.159,-6.8210000000000015,1,0.036000000000000004,140.035,4,46.0,0.335,0.0
28,0.0318,29.0,83767.0,57.0,0,0.7490000000000001,94,228750.0,0.853,0,0.000813,9,0.0861,-3.824,0,0.18100000000000002,128.035,4,18.0,0.281,0.0
29,0.5,68.0,1489629.0,82.0,0,0.599,1406,183680.0,0.551,0,0.0,9,0.0875,-5.937,1,0.0317,121.126,4,47.0,0.536,0.0
30,0.11699999999999999,56.0,302360.0,61.0,0,0.584,290,178360.0,0.601,0,0.0,10,0.184,-4.949,1,0.0712,170.063,4,44.0,0.424,0.0
31,0.0158,69.0,1106343.0,72.0,1,0.575,381,196533.0,0.6940000000000001,0,0.0,1,0.10800000000000001,-5.675,1,0.0709,77.539,4,65.0,0.442,21.0
32,0.893,84.0,410673.0,0.0,0,0.21899999999999997,290,132773.0,0.138,0,0.6659999999999999,1,0.09,-16.767,0,0.0428,119.626,4,46.0,0.0649,0.0
33,0.0008210000000000001,78.0,1286293.0,77.0,0,0.389,1245,189706.0,0.748,0,0.00058,2,0.358,-4.461,1,0.0805,78.056,4,65.0,0.21600000000000005,0.0
34,1.4999999999999999e-05,73.0,2060450.0,75.0,1,0.179,227,249466.0,0.953,0,0.00109,5,0.363,-2.6860000000000004,1,0.20199999999999999,153.955,5,58.0,0.337,1.0
35,0.00969,52.0,559275.0,61.0,0,0.5539999999999999,773,253240.0,0.866,0,2.52e-05,0,0.38799999999999996,-5.55,1,0.078,127.0,4,37.0,0.34600000000000003,0.0
36,0.0025800000000000003,,1528820.0,79.0,0,0.595,382,210652.0,0.606,1,0.0,5,0.344,-6.335,0,0.0316,92.075,4,67.0,0.168,0.0
